HD,type,source,aka,phase,vis2,ldd_mas,ud_k_mas
10476,hosts_sci,ertel_2018_aj_table_5,,Y,-9999,-9999,-9999
16160,hosts_sci,ertel_2018_aj_table_5,,Y,-9999,-9999,-9999
22049,hosts_sci,ertel_2018_aj_table_5,,Y,-9999,-9999,-9999
30652,hosts_sci,ertel_2018_aj_table_5,,Y,0.99,1.986,1.951
33111,hosts_sci,ertel_2018_aj_table_5,,Y,0.997,1.156,1.141
34411,hosts_sci,ertel_2018_aj_table_5,,Y,0.997,1.078,1.057
48373,hosts_sci,ertel_2018_aj_table_5,,Y,1,0.091,0.089
81937,hosts_sci,ertel_2018_aj_table_5,,Y,0.998,0.987,0.972
88230,hosts_sci,ertel_2018_aj_table_5,,Y,0.995,1.43,1.404
89449,hosts_sci,ertel_2018_aj_table_5,,Y,0.999,0.665,0.653
95418,hosts_sci,ertel_2018_aj_table_5,,Y,0.997,1.135,1.123
97603,hosts_sci,ertel_2018_aj_table_5,,Y,0.995,1.341,1.323
102647,hosts_sci,ertel_2018_aj_table_5,,Y,0.995,1.47,1.452
103287,hosts_sci,ertel_2018_aj_table_5,,Y,0.997,1.035,1.024
106591,hosts_sci,ertel_2018_aj_table_5,,Y,0.999,0.761,0.752
108767,hosts_sci,ertel_2018_aj_table_5,,Y,0.998,0.803,0.795
109085,hosts_sci,ertel_2018_aj_table_5,,Y,0.998,0.846,0.832
120136,hosts_sci,ertel_2018_aj_table_5,,Y,0.998,0.831,0.816
126660,hosts_sci,ertel_2018_aj_table_5,,Y,0.997,1.119,1.098
128167,hosts_sci,ertel_2018_aj_table_5,,Y,0.998,0.87,0.855
129502,hosts_sci,ertel_2018_aj_table_5,,Y,0.998,0.962,0.946
141004,hosts_sci,ertel_2018_aj_table_5,,Y,0.997,1.062,1.042
142373,hosts_sci,ertel_2018_aj_table_5,,Y,0.995,1.359,1.332
142860,hosts_sci,ertel_2018_aj_table_5,,Y,-9999,-9999,-9999
172167,hosts_sci,ertel_2018_aj_table_5,Vega,Y,0.974,3.22,3.185
173667,hosts_sci,ertel_2018_aj_table_5,,Y,0.998,0.917,0.9
185144,hosts_sci,ertel_2018_aj_table_5,,Y,0.996,1.217,1.19
187642,hosts_sci,ertel_2018_aj_table_5,Altair,Y,0.968,3.575,3.523
203280,hosts_sci,ertel_2018_aj_table_5,,Y,0.995,1.432,1.41
215648,hosts_sci,ertel_2018_aj_table_5,,Y,0.997,1.029,1.011
7087,hosts_calib,ertel_2018_aj_table_5,,Y,0.994,1.544,1.494
7318,hosts_calib,ertel_2018_aj_table_5,,Y,0.993,1.676,1.619
6953,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.909,1.815
21051,hosts_calib,ertel_2018_aj_table_5,,Y,0.997,1.049,1.013
13596,hosts_calib,ertel_2018_aj_table_5,,Y,0.982,2.824,2.675
18322,hosts_calib,ertel_2018_aj_table_5,,Y,0.985,2.533,2.445
29065,hosts_calib,ertel_2018_aj_table_5,,Y,0.987,2.298,2.214
23249,hosts_calib,ertel_2018_aj_table_5,,Y,0.987,2.294,2.244
31421,hosts_calib,ertel_2018_aj_table_5,,Y,0.981,2.788,2.689
31767,hosts_calib,ertel_2018_aj_table_5,,Y,0.982,2.767,2.671
36780,hosts_calib,ertel_2018_aj_table_5,,Y,0.993,1.756,1.687
38656,hosts_calib,ertel_2018_aj_table_5,,Y,0.993,1.655,1.602
40441,hosts_calib,ertel_2018_aj_table_5,,Y,0.993,1.776,1.699
49968,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.006,1.92
48433,hosts_calib,ertel_2018_aj_table_5,,Y,0.989,2.112,2.039
52960,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.052,1.977
86378,hosts_calib,ertel_2018_aj_table_5,,Y,0.989,2.161,2.068
73108,hosts_calib,ertel_2018_aj_table_5,,Y,-9999,-9999,-9999
92424,hosts_calib,ertel_2018_aj_table_5,,Y,0.992,1.85,1.784
86378,hosts_calib,ertel_2018_aj_table_5,,Y,0.989,2.161,2.068
95212,hosts_calib,ertel_2018_aj_table_5,,Y,0.986,2.412,2.308
89024,hosts_calib,ertel_2018_aj_table_5,,Y,0.996,1.263,1.218
93257,hosts_calib,ertel_2018_aj_table_5,,Y,0.996,1.254,1.208
86378,hosts_calib,ertel_2018_aj_table_5,,Y,0.989,2.161,2.068
94247,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.028,1.954
95212,hosts_calib,ertel_2018_aj_table_5,,Y,0.986,2.412,2.308
99902,hosts_calib,ertel_2018_aj_table_5,,Y,0.994,1.612,1.549
94336,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.983,1.813
99196,hosts_calib,ertel_2018_aj_table_5,,Y,0.993,1.712,1.646
98262,hosts_calib,ertel_2018_aj_table_5,,Y,0.942,4.945,4.763
104979,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.88,1.82
109742,hosts_calib,ertel_2018_aj_table_5,,Y,0.992,1.817,1.747
108381,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.083,2.011
94247,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.028,1.954
95212,hosts_calib,ertel_2018_aj_table_5,,Y,0.986,2.412,2.308
102224,hosts_calib,ertel_2018_aj_table_5,,Y,0.975,3.26,3.147
107274,hosts_calib,ertel_2018_aj_table_5,,Y,0.968,3.752,3.554
107465,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.982,1.896
102328,hosts_calib,ertel_2018_aj_table_5,,Y,0.995,1.485,1.43
101673,hosts_calib,ertel_2018_aj_table_5,,Y,0.992,1.779,1.714
113092,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.918,1.85
114113,hosts_calib,ertel_2018_aj_table_5,,Y,0.996,1.301,1.256
111500,hosts_calib,ertel_2018_aj_table_5,,Y,0.995,1.463,1.406
108522,hosts_calib,ertel_2018_aj_table_5,,Y,0.997,1.103,1.06
107418,hosts_calib,ertel_2018_aj_table_5,,Y,0.996,1.322,1.276
109272,hosts_calib,ertel_2018_aj_table_5,,Y,0.998,0.907,0.878
114326,hosts_calib,ertel_2018_aj_table_5,,Y,0.992,1.869,1.797
125560,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.893,1.823
128902,hosts_calib,ertel_2018_aj_table_5,,Y,0.992,1.822,1.751
138265,hosts_calib,ertel_2018_aj_table_5,,Y,0.981,2.854,2.731
133392,hosts_calib,ertel_2018_aj_table_5,,Y,0.997,1.064,1.029
126597,hosts_calib,ertel_2018_aj_table_5,,Y,0.997,1.062,1.024
129972,hosts_calib,ertel_2018_aj_table_5,,Y,0.993,1.642,1.589
131477,hosts_calib,ertel_2018_aj_table_5,,Y,0.995,1.511,1.446
133165,hosts_calib,ertel_2018_aj_table_5,,Y,0.992,1.752,1.714
130952,hosts_calib,ertel_2018_aj_table_5,,Y,0.996,1.307,1.263
145892,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.059,1.971
145085,hosts_calib,ertel_2018_aj_table_5,,Y,0.992,1.792,1.722
137704,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.921,1.846
144204,hosts_calib,ertel_2018_aj_table_5,,Y,0.993,1.668,1.596
137704,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.921,1.846
149009,hosts_calib,ertel_2018_aj_table_5,,Y,0.989,2.123,2.032
142574,hosts_calib,ertel_2018_aj_table_5,,Y,0.983,2.682,2.54
141992,hosts_calib,ertel_2018_aj_table_5,,Y,0.975,3.251,3.111
145892,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.059,1.971
164646,hosts_calib,ertel_2018_aj_table_5,,Y,0.983,2.714,2.571
163770,hosts_calib,ertel_2018_aj_table_5,,Y,0.974,3.282,3.169
170951,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.999,1.827
176527,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.078,2.004
191277,hosts_calib,ertel_2018_aj_table_5,,Y,0.995,1.457,1.404
170693,hosts_calib,ertel_2018_aj_table_5,,Y,0.991,1.913,1.846
184406,hosts_calib,ertel_2018_aj_table_5,,Y,0.986,2.433,2.343
189695,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.044,1.956
192107,hosts_calib,ertel_2018_aj_table_5,,Y,0.985,2.53,2.432
198149,hosts_calib,ertel_2018_aj_table_5,,Y,0.984,2.542,2.486
209960,hosts_calib,ertel_2018_aj_table_5,,Y,0.989,2.105,2.023
218792,hosts_calib,ertel_2018_aj_table_5,,Y,0.994,1.533,1.473
209167,hosts_calib,ertel_2018_aj_table_5,,Y,0.992,1.884,1.803
220009,hosts_calib,ertel_2018_aj_table_5,,Y,0.99,2.033,1.986
28794,hosts_calib,hosts_observed_sheet,,Y,1,0.14,0.138
33554,hosts_calib,hosts_observed_sheet,,Y,0.986,2.433,2.328
73106,hosts_calib,hosts_observed_sheet,,Y,1,0.032,0.032
83506,hosts_calib,hosts_observed_sheet,,Y,0.995,1.457,1.408
131507,hosts_calib,hosts_observed_sheet,,Y,0.991,1.967,1.89
168775,hosts_calib,hosts_observed_sheet,,Y,0.989,2.132,2.056
177080,hosts_calib,hosts_observed_sheet,,Y,1,0.135,0.133
173780,hosts_calib,hosts_observed_sheet,,Y,0.992,1.791,1.725
175443,hosts_calib,hosts_observed_sheet,,Y,0.993,1.668,1.603
117304,hosts_calib,hosts_observed_sheet,,Y,0.997,1.111,1.073
121980,hosts_calib,hosts_observed_sheet,,Y,0.992,1.777,1.701
217459,hosts_calib,hosts_observed_sheet,,Y,0.996,1.284,1.238
16028,hosts_calib,hosts_observed_sheet,,Y,0.994,1.594,1.532
16212,hosts_calib,hosts_observed_sheet,,Y,0.971,3.571,3.369
20356,hosts_calib,hosts_observed_sheet,,Y,0.991,1.911,1.837
23413,hosts_calib,hosts_observed_sheet,,Y,0.993,1.706,1.643
25165,hosts_calib,hosts_observed_sheet,,Y,0.991,1.913,1.838
98118,hosts_calib,hosts_observed_sheet,,Y,0.978,3.073,2.941
108985,hosts_calib,hosts_observed_sheet,,Y,0.993,1.703,1.661
99998,hosts_calib,hosts_observed_sheet,,Y,0.977,3.082,2.967
107328,hosts_calib,hosts_observed_sheet,,Y,0.991,1.974,1.906
35536,hosts_calib,hosts_observed_sheet,,Y,0.99,2.064,1.984
8705,hosts_calib,hosts_observed_sheet,,Y,0.988,2.274,2.193
8512,hosts_calib,hosts_observed_sheet,,Y,0.982,2.709,2.616
73108,hosts_calib,hosts_observed_sheet,,Y,-9999,-9999,-9999
85841,hosts_calib,hosts_observed_sheet,,Y,0.998,0.966,0.931
158974,hosts_calib,hosts_observed_sheet,,Y,0.998,0.904,0.875
159501,hosts_calib,hosts_observed_sheet,,Y,0.997,1.175,1.134
162211,hosts_calib,hosts_observed_sheet,,Y,0.994,1.597,1.541
186619,hosts_calib,hosts_observed_sheet,,Y,0.987,2.371,2.246
198134,hosts_calib,hosts_observed_sheet,,Y,0.987,2.297,2.212
