time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_center_retrieved,x_center_retrieved
1577953898.187168,psf_trial2_00000001.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953898.870458,psf_trial2_00000006.fits,-0.252262,-0.051637,-4.035771,50.000000,50.000000
1577953899.542093,psf_trial2_00000010.fits,-0.252262,-0.051637,-4.035771,50.000000,50.000000
1577953900.228732,psf_trial2_00000015.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953900.905561,psf_trial2_00000020.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953901.575045,psf_trial2_00000024.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953902.262058,psf_trial2_00000029.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953902.930734,psf_trial2_00000034.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953903.602234,psf_trial2_00000039.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953904.269388,psf_trial2_00000043.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953904.952480,psf_trial2_00000048.fits,0.500194,-0.039091,-4.165881,50.000000,50.000000
1577953905.622961,psf_trial2_00000053.fits,0.500194,-0.039091,-4.165881,50.000000,50.000000
1577953906.300894,psf_trial2_00000057.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953906.980906,psf_trial2_00000062.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953907.776285,psf_trial2_00000067.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953908.464164,psf_trial2_00000071.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953909.135685,psf_trial2_00000076.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953909.805113,psf_trial2_00000081.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953910.487325,psf_trial2_00000085.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953911.158109,psf_trial2_00000090.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953911.842637,psf_trial2_00000095.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577953912.522086,psf_trial2_00000099.fits,-0.500099,0.030627,4.166148,50.000000,50.000000
1577953913.198509,psf_trial2_00000104.fits,-0.749920,0.009725,0.369679,50.000000,50.000000
1577953913.873489,psf_trial2_00000109.fits,-0.500099,0.030627,4.166148,50.000000,50.000000
1577953914.542193,psf_trial2_00000114.fits,-1.009863,-0.088718,-3.759820,50.000000,50.000000
1577953915.217255,psf_trial2_00000118.fits,-0.749920,0.009725,0.369679,50.000000,50.000000
1577953915.887986,psf_trial2_00000123.fits,-0.749920,0.009725,0.369679,50.000000,50.000000
1577953916.558771,psf_trial2_00000128.fits,-0.749920,0.009725,0.369679,50.000000,50.000000
1577953917.226675,psf_trial2_00000132.fits,-1.009863,-0.088718,-3.759820,50.000000,50.000000
1577953917.901925,psf_trial2_00000137.fits,-1.009863,-0.088718,-3.759820,50.000000,50.000000
1577953918.581373,psf_trial2_00000142.fits,-1.009863,-0.088718,-3.759820,50.000000,50.000000
1577953919.266981,psf_trial2_00000146.fits,-0.500099,0.030627,4.166148,50.000000,50.000000
1577953919.966511,psf_trial2_00000151.fits,-0.252262,-0.051637,-4.035771,50.000000,50.000000
1577953920.640611,psf_trial2_00000156.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953921.310838,psf_trial2_00000161.fits,0.252216,0.043064,4.037617,50.000000,50.000000
1577953921.980344,psf_trial2_00000165.fits,0.252216,0.043064,4.037617,50.000000,50.000000
