filename,opd_injected,tip_injected,tilt_injected,x_shift_injected,y_shift_injected
psf_trial5_00003694.fits,0.0,0.0,0.0,-0.125,-0.375
psf_trial5_00000527.fits,0.0,0.0,0.0,-0.125,-0.125
psf_trial5_00006184.fits,0.0,0.0,0.0,-4.875000000000003,3.0
psf_trial5_00009016.fits,0.0,0.0,0.0,-1.25,0.2499999999999996
psf_trial5_00007734.fits,0.0,0.0,0.0,-2.375,2.25
psf_trial5_00004190.fits,0.0,0.0,0.0,-0.125,0.5000000000000001
psf_trial5_00008644.fits,0.0,0.0,0.0,-1.75,0.1249999999999996
psf_trial5_00008540.fits,0.0,0.0,0.0,-2.125,1.125
psf_trial5_00009948.fits,0.0,0.0,0.0,-0.6249999999999997,0.6249999999999997
psf_trial5_00002977.fits,0.0,0.0,0.0,-0.5,-0.125
psf_trial5_00004535.fits,0.0,0.0,0.0,-0.8750000000000001,0.2500000000000001
psf_trial5_00005163.fits,0.0,0.0,0.0,-1.5,2.0
psf_trial5_00006946.fits,0.0,0.0,0.0,-2.375,3.125000000000001
psf_trial5_00006214.fits,0.0,0.0,0.0,-4.625000000000002,3.0
psf_trial5_00005932.fits,0.0,0.0,0.0,-4.375000000000002,3.0
psf_trial5_00000512.fits,0.0,0.0,0.0,0.1250000000000001,4.33680868994201e-17
psf_trial5_00002421.fits,0.0,0.0,0.0,-0.7500000000000001,-2.0
psf_trial5_00006688.fits,0.0,0.0,0.0,-2.625,4.000000000000002
psf_trial5_00007560.fits,0.0,0.0,0.0,-2.625,2.0
psf_trial5_00007997.fits,0.0,0.0,0.0,-2.875,1.624999999999999
psf_trial5_00005982.fits,0.0,0.0,0.0,-4.500000000000002,3.250000000000001
psf_trial5_00003050.fits,0.0,0.0,0.0,-0.375,-0.5
psf_trial5_00005048.fits,0.0,0.0,0.0,-2.25,1.875
psf_trial5_00008006.fits,0.0,0.0,0.0,-2.75,1.624999999999999
psf_trial5_00000073.fits,0.0,0.0,0.0,-0.25,-0.375
psf_trial5_00009843.fits,0.0,0.0,0.0,-0.9999999999999997,-3.9031278209478e-16
psf_trial5_00002036.fits,0.0,0.0,0.0,-1.625,-2.0
psf_trial5_00002635.fits,0.0,0.0,0.0,-0.8750000000000001,-1.625
psf_trial5_00003016.fits,0.0,0.0,0.0,-0.375,-0.375
psf_trial5_00000586.fits,0.0,0.0,0.0,-0.25,0.1250000000000001
psf_trial5_00009299.fits,0.0,0.0,0.0,-2.0,0.6249999999999997
psf_trial5_00001891.fits,0.0,0.0,0.0,-1.375,-1.5
psf_trial5_00004981.fits,0.0,0.0,0.0,-1.875,1.625
psf_trial5_00005959.fits,0.0,0.0,0.0,-4.500000000000002,3.375000000000001
psf_trial5_00004491.fits,0.0,0.0,0.0,-1.0,4.33680868994201e-17
psf_trial5_00003705.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.375
psf_trial5_00000390.fits,0.0,0.0,0.0,0.2500000000000001,-0.125
psf_trial5_00001561.fits,0.0,0.0,0.0,-0.125,-0.5
psf_trial5_00009736.fits,0.0,0.0,0.0,-1.499999999999999,0.3749999999999997
psf_trial5_00000577.fits,0.0,0.0,0.0,-0.375,4.33680868994201e-17
psf_trial5_00007912.fits,0.0,0.0,0.0,-3.125000000000001,1.75
psf_trial5_00003001.fits,0.0,0.0,0.0,-0.5,-0.125
psf_trial5_00002098.fits,0.0,0.0,0.0,-1.375,-2.125
psf_trial5_00000153.fits,0.0,0.0,0.0,-0.25,-0.25
psf_trial5_00004845.fits,0.0,0.0,0.0,-1.25,1.25
psf_trial5_00008705.fits,0.0,0.0,0.0,-1.375,0.3749999999999997
psf_trial5_00005427.fits,0.0,0.0,0.0,-3.375000000000001,1.5
psf_trial5_00009481.fits,0.0,0.0,0.0,-1.25,0.4999999999999997
psf_trial5_00004825.fits,0.0,0.0,0.0,-1.25,1.5
psf_trial5_00006957.fits,0.0,0.0,0.0,-2.375,3.250000000000001
psf_trial5_00002863.fits,0.0,0.0,0.0,-0.25,4.33680868994201e-17
psf_trial5_00000009.fits,0.0,0.0,0.0,0.0,-0.125
psf_trial5_00003190.fits,0.0,0.0,0.0,0.2500000000000001,-0.125
psf_trial5_00002129.fits,0.0,0.0,0.0,-1.25,-2.25
psf_trial5_00008272.fits,0.0,0.0,0.0,-2.625,1.75
psf_trial5_00009178.fits,0.0,0.0,0.0,-1.75,0.6249999999999997
psf_trial5_00002488.fits,0.0,0.0,0.0,-0.8750000000000001,-1.875
psf_trial5_00009543.fits,0.0,0.0,0.0,-0.8749999999999998,0.2499999999999996
psf_trial5_00004268.fits,0.0,0.0,0.0,-0.625,0.1250000000000001
psf_trial5_00008442.fits,0.0,0.0,0.0,-2.25,1.499999999999999
psf_trial5_00002166.fits,0.0,0.0,0.0,-1.0,-2.375
psf_trial5_00008076.fits,0.0,0.0,0.0,-2.375,1.499999999999999
psf_trial5_00005299.fits,0.0,0.0,0.0,-2.375,2.0
psf_trial5_00002083.fits,0.0,0.0,0.0,-1.5,-2.0
psf_trial5_00001206.fits,0.0,0.0,0.0,-1.0,4.33680868994201e-17
psf_trial5_00000860.fits,0.0,0.0,0.0,-1.375,0.3750000000000001
psf_trial5_00008685.fits,0.0,0.0,0.0,-1.624999999999999,0.2499999999999996
psf_trial5_00009415.fits,0.0,0.0,0.0,-1.499999999999999,0.2499999999999996
psf_trial5_00006391.fits,0.0,0.0,0.0,-4.125000000000002,3.750000000000001
psf_trial5_00002652.fits,0.0,0.0,0.0,-0.8750000000000001,-1.25
psf_trial5_00005335.fits,0.0,0.0,0.0,-2.375,2.0
psf_trial5_00001895.fits,0.0,0.0,0.0,-1.25,-1.625
psf_trial5_00004228.fits,0.0,0.0,0.0,-0.25,0.3750000000000001
psf_trial5_00003142.fits,0.0,0.0,0.0,0.2500000000000001,-0.25
psf_trial5_00004954.fits,0.0,0.0,0.0,-1.625,1.625
psf_trial5_00002832.fits,0.0,0.0,0.0,-0.625,4.33680868994201e-17
psf_trial5_00003785.fits,0.0,0.0,0.0,-0.125,4.33680868994201e-17
psf_trial5_00004755.fits,0.0,0.0,0.0,-1.0,1.125
psf_trial5_00005869.fits,0.0,0.0,0.0,-4.250000000000002,2.5
psf_trial5_00002153.fits,0.0,0.0,0.0,-0.7500000000000001,-2.25
psf_trial5_00008794.fits,0.0,0.0,0.0,-1.375,0.4999999999999997
psf_trial5_00007077.fits,0.0,0.0,0.0,-2.5,3.375000000000001
