time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,x_center_retrieved,y_center_retrieved
1577963861.991019,psf_trial6_00000001.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577963862.671143,psf_trial6_00000006.fits,0.000396,-0.004706,1.014665,50.000000,50.000000
1577963863.336554,psf_trial6_00000010.fits,0.166355,-2.606420,8.024214,50.000000,50.000000
1577963864.002204,psf_trial6_00000015.fits,0.405084,-5.795022,3.935982,50.000000,50.000000
1577963864.670246,psf_trial6_00000020.fits,0.406793,-5.908652,2.890884,50.000000,50.000000
1577963865.348197,psf_trial6_00000024.fits,0.405027,-9.665300,2.794688,50.000000,50.000000
1577963866.015838,psf_trial6_00000029.fits,0.498554,-9.902690,-4.278043,50.000000,50.000000
1577963866.690231,psf_trial6_00000034.fits,0.242431,-9.663478,4.626485,50.000000,50.000000
1577963867.353652,psf_trial6_00000038.fits,0.340465,-9.064447,-0.393399,50.000000,50.000000
1577963868.026084,psf_trial6_00000043.fits,0.248497,-7.885288,3.724456,50.000000,50.000000
1577963868.699974,psf_trial6_00000048.fits,0.430672,-7.974529,-8.247713,50.000000,50.000000
1577963869.365367,psf_trial6_00000052.fits,0.181243,-6.269549,-2.654471,50.000000,50.000000
1577963870.036514,psf_trial6_00000057.fits,-0.066535,-5.938521,-9.495793,50.000000,50.000000
1577963870.730063,psf_trial6_00000062.fits,-0.068009,-6.911161,-9.454033,50.000000,50.000000
1577963871.395832,psf_trial6_00000066.fits,-0.067258,-4.224249,-9.524319,50.000000,50.000000
1577963872.058906,psf_trial6_00000071.fits,0.182492,-2.597697,-2.140064,50.000000,50.000000
1577963872.734323,psf_trial6_00000076.fits,0.094464,-3.097864,1.433623,50.000000,50.000000
1577963873.405610,psf_trial6_00000080.fits,0.183885,-2.607468,-1.151766,50.000000,50.000000
1577963874.088086,psf_trial6_00000085.fits,0.433756,-3.302430,-7.292855,50.000000,50.000000
1577963874.764338,psf_trial6_00000090.fits,0.429975,-6.057162,-7.176948,50.000000,50.000000
1577963875.440162,psf_trial6_00000094.fits,0.256312,-3.095544,4.450114,50.000000,50.000000
1577963876.118149,psf_trial6_00000099.fits,0.256312,-3.095544,4.450114,50.000000,50.000000
1577963876.788162,psf_trial6_00000104.fits,0.256312,-3.095544,4.450114,50.000000,50.000000
1577963877.461300,psf_trial6_00000108.fits,0.495571,-3.145484,-4.267087,50.000000,50.000000
1577963878.139005,psf_trial6_00000113.fits,0.656960,-3.049922,-0.738252,50.000000,50.000000
1577963878.815932,psf_trial6_00000118.fits,0.749421,-3.031416,-0.237007,50.000000,50.000000
1577963879.500117,psf_trial6_00000122.fits,0.495571,-3.145484,-4.267087,50.000000,50.000000
1577963880.179765,psf_trial6_00000127.fits,0.495571,-3.145484,-4.267087,50.000000,50.000000
1577963880.845003,psf_trial6_00000132.fits,0.495414,-2.228042,-5.356154,50.000000,50.000000
1577963881.527632,psf_trial6_00000136.fits,0.495956,-4.754078,-5.315365,50.000000,50.000000
1577963882.195678,psf_trial6_00000141.fits,0.494917,-3.146938,-5.386267,50.000000,50.000000
1577963882.873784,psf_trial6_00000146.fits,0.093778,-3.089093,0.412524,50.000000,50.000000
1577963883.550530,psf_trial6_00000150.fits,0.094464,-3.097864,1.433623,50.000000,50.000000
1577963884.223648,psf_trial6_00000155.fits,0.185249,0.636286,-1.083093,50.000000,50.000000
1577963884.902897,psf_trial6_00000160.fits,0.186693,4.030562,-0.641124,50.000000,50.000000
1577963885.577003,psf_trial6_00000164.fits,0.186693,4.030562,-0.641124,50.000000,50.000000
